ÖSYM Program Kodu,Üniversite Türü,Üniversite,Fakülte / Yüksekokul,Puan Türü,Burs Türü,Genel Kontenjan,Okul Birincisi Kontenjanı,Toplam Kontenjan,Genel Kontenjana Yerleşen,Okul Birincisi Kontenjanına Yerleşen,Toplam Yerleşen,Boş Kalan Kontenjan,İlk Yerleşme Oranı,Yerleşip Kayıt Yaptırmayan,Ek Yerleşen,,,,"0,12 Katsayı ile Yerleşen Son Kişinin Başarı Sırası","0,12 + 0,06 Katsayı ile Yerleşen Son Kişinin Başarı Sırası",2018'de Yerleşip 2019'de OBP'si Kırılarak Yerleşen Sayısı,Yerleşenlerin Ortalama OBP'si,Yerleşenlerin Ortalama Diploma Notu
200611707,Vakıf,BAŞKENT ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,%50 İndirimli,13,---,13,13,---,13,---,"% 100,0",---,---,"355,89315",---,"382,96261",104.923,---,1,"443,985","88,8"
200611716,Vakıf,BAŞKENT ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,%25 İndirimli,15,---,15,15,---,15,---,"% 100,0",---,---,"286,79970",---,"347,94023",219.511,---,---,"433,497","86,7"
200710365,Vakıf,BEYKENT ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,Burslu,5,---,5,5,---,5,---,"% 100,0",---,---,"380,93642",---,"401,83585",80.455,---,---,"433,500","86,7"
200790417,Vakıf,BEYKENT ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%75 İndirimli,6,---,6,6,---,6,---,"% 100,0",---,---,"345,28855",---,"353,72051",116.857,---,---,"403,058","80,6"
200710611,Vakıf,BEYKENT ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%50 İndirimli,39,---,39,29,---,29,10,"% 74,4",1,1,Dolmadı,---,"334,55138",Dolmadı,---,2,"424,203","84,8"
200711415,Vakıf,BEYKENT ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",---,---,"398,43065",---,"420,67726",65.884,---,---,"457,600","91,5"
200790418,Vakıf,BEYKENT ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%75 İndirimli,12,---,12,12,---,12,---,"% 100,0",---,---,"327,59952",---,"386,50533",140.368,---,---,"441,121","88,2"
200712194,Vakıf,BEYKENT ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%50 İndirimli,24,---,24,5,---,5,19,"% 20,8",---,---,Dolmadı,---,"315,67664",Dolmadı,---,---,"413,340","82,7"
200851520,Vakıf,BEYKOZ ÜNİVERSİTESİ ,Mühendislik ve Mimarlık Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",---,---,"360,69780",---,"374,04467",99.802,---,---,"440,875","88,2"
200851521,Vakıf,BEYKOZ ÜNİVERSİTESİ ,Mühendislik ve Mimarlık Fakültesi,SAY,%75 İndirimli,16,---,16,16,---,16,---,"% 100,0",2,---,"288,42425",---,"340,54173",215.408,---,2,"413,922","82,8"
